show,tipo,precio,duracion,artista,local,nota,opiniones
El caótico enamorar de Tristán,show,12.0,60.0,autor: francisco florido,Teatro Victoria Madrid,,
Cincuentañer@s,show,10.0,60.0,josé boto,Clandestino Café Teatro,8.4,9.0
Heterobásicos,show,10.0,60.0,toni moret - pablo alcaraz,Clandestino Café Teatro,,
Popurrí: Miguel Miguel en Platea,show,10.0,80.0,miguel miguel,Platea Café Teatro,9.7,8.0
La vida me importa un huevo,show,10.0,75.0,arturo cejas,Vodevil Circus,10.0,1.0
Sujétame El Micrófono,show,8.0,60.0,vicente pulki,Clandestino Café Teatro,,
Sujétame El Micrófono,show,8.0,60.0, davis corpa,Clandestino Café Teatro,,
Humor de Perros,show,10.0,60.0,miguel martín,Clandestino Café Teatro,8.7,9.0
Comedia Imprevisible,show,8.0,60.0,ismael galletero,Clandestino Café Teatro,,
Capilladas,show,10.0,60.0,palo capilla,Clandestino Café Teatro,10.0,3.0
Pero Que Me Estas Contando!? - Monologo y Comedia,show,10.0,60.0,nicolás biffi,Clandestino Café Teatro,8.5,16.0
Situaciones incómodas - Marcos Arizmendi,show,10.0,60.0,marcos arizmendi,Clandestino Café Teatro,9.9,10.0
Sin Pelos En La Lengua,show,5.0,60.0,ismael galán,Clandestino Café Teatro,10.0,1.0
"Comedia Canalla, El Incorrecto",show,8.0,60.0,dani acosta,Clandestino Café Teatro,6.8,6.0
El Humor De Los 90s Hoy,show,10.0,60.0,el largo,Clandestino Café Teatro,7.5,2.0
"Alicia Montoya, Payasa",show,7.0,83.0,alicia montoya,Tropicana Beach Club Madrid,,
Pifostio: show de comedia,show,8.0,75.0,dani aparicio,El Sombrerero Comedy Club,9.7,45.0
Pifostio: show de comedia,show,8.0,75.0, nico camino,El Sombrerero Comedy Club,9.7,45.0
Ganso: el show de Edu J.,show,9.0,70.0,edu j.,Mad Beer Hall,10.0,6.0
Micky McPhantom y Molina Gómez - ¿Todo Bien!,show,15.0,90.0,micky mcphantom,Teatro Chocita del Loro - Gran Vía,8.6,11.0
Micky McPhantom y Molina Gómez - ¿Todo Bien!,show,15.0,90.0, molina gómez,Teatro Chocita del Loro - Gran Vía,8.6,11.0
Hay que Tener Huevos / Alcobendas Sanse- La Nota Rock,show,4.0,90.0,dan comedia,La Nota Rock,,
Carolina Noriega en Platea,show,10.0,80.0,carolina noriega,Platea Café Teatro,10.0,1.0
Nacho punto G en Platea,show,10.0,90.0,nacho punto g,Platea Café Teatro,8.1,4.0
Ismael Galán en Platea,show,10.0,70.0,platea,Platea Café Teatro,,
Pepa Golden en Platea,show,10.0,80.0,pepa golden,Platea Café Teatro,9.2,2.0
Juank en Platea,show,10.0,80.0,juank,Platea Café Teatro,10.0,1.0
Mario Mechón en Platea,show,10.0,80.0,mario mechón,Platea Café Teatro,,
Jorge Gallardo en Platea,show,10.0,70.0,jorge gallardo,Platea Café Teatro,10.0,1.0
Oscar Bárez en Platea,show,10.0,80.0,oscar bárez,Platea Café Teatro,10.0,3.0
Dos de Cal,show,10.0,90.0,j. piqueras,Vodevil Circus,,
El Capi es mi cuñao,show,10.0,50.0,mario ángel,Vodevil Circus,9.9,13.0
¡Se vienen Cositas!,show,10.0,60.0,cachiporri,Estación Malasaña,,
Zapatiburger: 4 cómicos + 1 batería + 1 cantante,show,5.0,80.0,capitán fornié,Sleep'n Atocha,,
Tonta,show,10.0,70.0,cristina gómez,Mad Beer Hall,,
Luis Gerónimo Abreu - Camas,show,20.0,75.0,luis gerónimo abreu,Pequeño Teatro Gran Vía de Madrid,,
